Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
Toyota,USED,Automatic,4WD,Unleaded,SUV, 4 , 5 ,4 , 2.4 ,Silver ,2007,106718.0,14999.0,9.6,100.0
Holden,USED,Automatic,Rear,Unleaded,Sedan, 4 , 5 ,6 , 3 ,Red ,2016,59689.0,22999.0,8.3,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,Coupe, 2 , 4 ,4 , 1.8 ,Silver ,2010,177834.0,7999.0,9.0,100.0
Dodge,USED,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2012,147589.0,10999.0,7.68,100.0
Mazda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.5 ,White ,2013,105767.0,19999.0,6.6,100.0
Volkswagen,USED,Automatic,Front,Premium,Commercial, 3 , 2 ,4 , 1.4 ,White ,2018,87293.0,30999.0,6.0,100.0
Honda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.8 ,Silver ,2013,154347.0,15990.0,6.7,100.0
Jeep,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2.4 ,White ,2021,20827.0,32888.0,7.9,100.0
Toyota,USED,Automatic,Other,Unleaded,Commercial, 4 , 5 ,4 , 2 ,White ,2008,112980.0,31900.0,7.3,100.0
Mazda,USED,Automatic,Other,Other,Wagon, 4 , 5 ,4 , 2 ,Blue ,2014,97745.0,22999.0,7.040000000000001,100.0
Toyota,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.3 ,White ,2010,147626.0,10995.0,6.5,100.0
Jeep,USED,Automatic,4WD,Diesel,SUV, 4 , 5 ,6 , 3 ,Grey ,2014,114424.0,29990.0,7.5,100.0
Mazda,USED,Manual,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2.5 ,Red ,2009,153020.0,13950.0,8.6,100.0
Ford,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,5 , 3.2 ,Blue ,2016,98700.0,36999.0,9.0,100.0
Holden,USED,Automatic,Other,Diesel,Wagon, 4 , 5 ,4 , 2 ,White ,2011,183924.0,9990.0,7.68,100.0
Toyota,USED,Automatic,Rear,Premium,Coupe, 2 , 4 ,4 , 2 ,Orange ,2013,103706.0,24990.0,7.1,100.0
Volkswagen,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.4 ,Gold ,2013,126532.0,13990.0,5.2,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Grey ,2013,73421.0,16990.0,7.3,100.0
Toyota,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.4 ,White ,2009,155135.0,10995.0,9.9,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.4 ,Grey ,2013,123330.0,12990.0,6.4,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2.4 ,Silver ,2014,44249.0,18990.0,8.9,100.0
Mazda,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.5 ,Silver ,2018,27100.0,23999.0,4.9,100.0
Mazda,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,White ,2009,70661.0,14995.0,8.2,100.0
Mitsubishi,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.5 ,White ,2014,215100.0,18995.0,9.3,100.0
